lambda lambda_ih success
5 0.00005 93.8271605
5 0.0001 91.5151515
5 0.0002 90.3743316
5 0.0005 89.9159664
5 0.001 91.5492958
5 0.002 86.9565217
5 0.005 82.5
50 0.00001 92.2580645
50 0.00002 95.5414013
50 0.00005 95.7264957
50 0.0001 94.4099379
50 0.0002 94.6428571
50 0.0005 88.8888889
50 0.001 94.6843854
50 0.002 88.2352941
50 0.005 84.7560976
500 0.00001 91.8604651
500 0.00002 93.6170213
500 0.00005 94.3661972
500 0.0001 94.8717949
500 0.0002 95.9183673
500 0.0005 92.9032258
500 0.001 94.5945946
500 0.002 88.7096774
500 0.005 88.6792453
5000 0.00001 93.220339
5000 0.00002 93.0379747
5000 0.00005 93.8356164
5000 0.0001 95.3947368
5000 0.0002 95.5414013
5000 0.0005 93.8356164
5000 0.001 92.8366762
5000 0.002 95.8823529
5000 0.005 88.7323944
  
